route_stop_id,route_id,direction_id,stop_sequence,trip_headsign,stop_id
1028,335,0,20,335 Exposition WB,2090
1029,1,1,34,1 Tech Ridge Park & Ride NB,5634
1030,7,0,52,7 William Cannon SB,5712
1031,30,1,34,30 Westgate Transit Center SB,1939
1032,7,1,53,7 Airport/Highland NB,1264
1033,333,0,26,333 Oak Hill WB,3177
1034,271,0,10,271 Grove WB,3240
1035,10,0,53,10 Southpark Meadows SB,2623
1036,310,1,22,310 S. Congress Transit Center WB,5544
1037,311,1,20,311 ACC RIVERSIDE EB,4276
1038,322,1,28,322 Hancock Center NB,5283
1039,325,0,19,325 Norwood Transit Center SB,5681
1040,350,0,24,350 North Lamar Transit Center NB,3271
1041,800,0,9,800 Mueller NB,6511
1042,337,0,44,337 Mopac WB,2476
1043,4,1,23,4 Shady EB,6450
1044,392,1,3,392 Kramer Station WB,5328
1045,837,1,10,837 Decker NB,5616
1046,392,0,2,392 Tech Ridge Park & Ride EB,4970
1047,5,1,37,5 Northcross WB,4830
1048,315,1,14,315 Oak Hill WB,4470
1049,300,1,20,300 Crestview Station NB,1474
1050,315,0,9,315 S. Congress Transit Center EB,4218
1051,3,1,31,3 Arboretum NB,767
1052,333,1,27,333 Thaxton EB,3230
1053,311,0,30,311 Westgate Transit Center WB,3106
1054,1,0,19,1 William Cannon SB,467
1055,333,0,2,333 Brush Country WB,5699
1056,383,0,23,383 Lakeline Station NB,3811
1057,7,1,17,7 Crestview Station NB,1232
1058,325,1,20,325 Tech Ridge Park & Ride NB,5678
1059,803,0,12,803 Domain NB,4657
1060,310,0,10,310 ACC Riverside EB,1238
1061,318,1,17,318 Westgate Transit Center WB,6480
1062,20,0,22,20 Springdale NB,2643
1063,350,1,25,350 ACC Riverside SB,3302
1064,2,0,21,2 EASTSIDE BUS PLAZA SB,993
1065,318,0,30,318 Thaxton EB,2974
1066,333,1,28,333 Thaxton EB,3231
1067,18,1,30,18 Exposition WB,5740
1068,801,1,19,801 Southpark Meadows SB,2611
1069,10,1,36,10 Norwood Transit Center NB,2643
1070,335,0,21,335 Exposition WB,1423
1071,324,1,2,324 Northcross WB,3276
1072,1,1,35,1 Tech Ridge Park & Ride NB,603
1073,30,1,35,30 Westgate Transit Center SB,1997
1074,325,0,20,325 Norwood Transit Center SB,5682
1075,10,0,54,10 Southpark Meadows SB,4394
1076,315,0,10,315 S. Congress Transit Center EB,1754
1077,300,1,21,300 Crestview Station NB,1475
1078,333,0,3,333 Brush Country WB,6521
1079,318,1,18,318 Westgate Transit Center WB,2666
1080,311,1,21,311 ACC RIVERSIDE EB,4365
1081,2,1,15,2 Springdale NB,6315
1082,337,0,45,337 Mopac WB,6408
1083,800,1,14,800 Slaughter SB,6512
1084,7,1,54,7 Airport/Highland NB,1265
1085,5,0,27,5 Tannehill EB,4153
1086,7,0,53,7 William Cannon SB,1204
1087,318,0,31,318 Thaxton EB,2975
1088,392,1,4,392 Kramer Station WB,5329
1089,383,1,8,383 North Lamar Transit Center SB,4656
1090,311,0,31,311 Westgate Transit Center WB,5741
1091,1,0,20,1 William Cannon SB,468
1092,325,1,21,325 Tech Ridge Park & Ride NB,5823
1093,310,0,11,310 ACC Riverside EB,1239
1094,333,1,29,333 Thaxton EB,2917
1095,335,0,22,335 Exposition WB,1424
1096,30,1,36,30 Westgate Transit Center SB,1998
1097,392,0,3,392 Tech Ridge Park & Ride EB,3021
1098,800,0,10,800 Mueller NB,1027
1099,333,0,27,333 Oak Hill WB,4429
1100,2,0,22,2 EASTSIDE BUS PLAZA SB,5633
1101,837,1,11,837 Decker NB,6091
1102,350,0,25,350 North Lamar Transit Center NB,3272
1103,333,1,30,333 Thaxton EB,2918
1104,333,0,4,333 Brush Country WB,4361
1105,801,0,11,801 Tech Ridge Park & Ride NB,2767
1106,350,1,26,350 ACC Riverside SB,3303
1107,310,0,12,310 ACC Riverside EB,1240
1108,30,1,37,30 Westgate Transit Center SB,1999
1109,315,1,15,315 Oak Hill WB,4471
1110,318,0,32,318 Thaxton EB,2976
1111,5,1,38,5 Northcross WB,1058
1112,7,1,55,7 Airport/Highland NB,1267
1113,801,1,20,801 Southpark Meadows SB,5867
1114,837,0,17,837 Downtown SB,6498
1115,990,1,1,990 Downtown/University of Texas WB,5777
1116,300,1,22,300 Crestview Station NB,6511
1117,325,1,22,325 Tech Ridge Park & Ride NB,4770
1118,337,1,2,337 Decker EB,2419
1119,10,0,55,10 Southpark Meadows SB,1682
1120,1,1,36,1 Tech Ridge Park & Ride NB,604
1121,18,1,31,18 Exposition WB,5723
1122,315,0,11,315 S. Congress Transit Center EB,2216
1123,10,1,37,10 Norwood Transit Center NB,6314
1124,318,1,19,318 Westgate Transit Center WB,5842
1125,2,0,23,2 EASTSIDE BUS PLAZA SB,995
1126,392,0,4,392 Tech Ridge Park & Ride EB,4971
1127,311,0,32,311 Westgate Transit Center WB,3107
1128,4,1,24,4 Shady EB,6261
1129,7,1,19,7 Crestview Station NB,5663
1130,800,1,15,800 Slaughter SB,6508
1131,271,0,11,271 Grove WB,3241
1132,5,1,39,5 Northcross WB,1059
1133,1,0,21,1 William Cannon SB,6452
1134,311,1,22,311 ACC RIVERSIDE EB,4363
1135,300,1,23,300 Crestview Station NB,4296
1136,333,1,31,333 Thaxton EB,3234
1137,333,0,28,333 Oak Hill WB,3178
1138,5,0,28,5 Tannehill EB,4155
1139,800,0,11,800 Mueller NB,1028
1140,325,0,21,325 Norwood Transit Center SB,3129
1141,383,0,24,383 Lakeline Station NB,5432
1142,350,0,26,350 North Lamar Transit Center NB,3273
1143,392,1,5,392 Kramer Station WB,5335
1144,20,0,23,20 Springdale NB,5965
1145,335,0,23,335 Exposition WB,1425
1146,7,1,56,7 Airport/Highland NB,5494
1147,324,1,3,324 Northcross WB,1274
1148,383,1,9,383 North Lamar Transit Center SB,5514
1149,318,0,33,318 Thaxton EB,3767
1150,1,1,37,1 Tech Ridge Park & Ride NB,605
1151,7,0,54,7 William Cannon SB,6312
1152,837,1,12,837 Decker NB,6292
1153,30,1,38,30 Westgate Transit Center SB,5349
1154,350,0,27,350 North Lamar Transit Center NB,6340
1155,383,0,25,383 Lakeline Station NB,3812
1156,311,0,33,311 Westgate Transit Center WB,2367
1157,5,1,40,5 Northcross WB,1060
1158,325,1,23,325 Tech Ridge Park & Ride NB,2539
1159,10,0,56,10 Southpark Meadows SB,2640
1160,318,1,20,318 Westgate Transit Center WB,5843
1161,335,0,24,335 Exposition WB,1426
1162,7,1,21,7 Crestview Station NB,5456
1163,803,1,13,803 Westgate Transit Center SB,5349
1164,18,1,32,18 Exposition WB,4986
1165,310,0,13,310 ACC Riverside EB,6511
1166,2,1,16,2 Springdale NB,5209
1167,337,1,3,337 Decker EB,4588
1168,4,1,25,4 Shady EB,6263
1169,350,0,28,350 North Lamar Transit Center NB,1794
1170,310,0,14,310 ACC Riverside EB,4296
1171,392,0,5,392 Tech Ridge Park & Ride EB,3022
1172,383,1,10,383 North Lamar Transit Center SB,3823
1173,333,1,32,333 Thaxton EB,4384
1174,7,0,55,7 William Cannon SB,6311
1175,1,1,38,1 Tech Ridge Park & Ride NB,606
1176,325,0,22,325 Norwood Transit Center SB,3130
1177,18,1,33,18 Exposition WB,4161
1178,30,0,10,30 NORTHCROSS NB,2207
1179,333,0,29,333 Oak Hill WB,4437
1180,5,1,41,5 Northcross WB,1061
1181,311,1,23,311 ACC RIVERSIDE EB,4331
1182,350,0,29,350 North Lamar Transit Center NB,1795
1183,30,1,39,30 Westgate Transit Center SB,5352
1184,800,0,12,800 Mueller NB,5779
1185,324,1,4,324 Northcross WB,1275
1186,325,1,24,325 Tech Ridge Park & Ride NB,2540
1187,7,1,22,7 Crestview Station NB,4324
1188,10,0,57,10 Southpark Meadows SB,2626
1189,1,0,22,1 William Cannon SB,5227
1190,10,1,38,10 Norwood Transit Center NB,6315
1191,18,1,34,18 Exposition WB,1983
1192,300,1,24,300 Crestview Station NB,1027
1193,315,0,12,315 S. Congress Transit Center EB,6377
1194,318,0,34,318 Thaxton EB,5999
1195,323,1,1,323 Norwood Transit Center EB,5854
1196,333,1,33,333 Thaxton EB,550
1197,350,1,27,350 ACC Riverside SB,6242
1198,801,0,12,801 Tech Ridge Park & Ride NB,5868
1199,803,0,13,803 Domain NB,5865
1200,837,1,13,837 Decker NB,5925
1201,2,0,24,2 EASTSIDE BUS PLAZA SB,2812
1202,333,0,5,333 Brush Country WB,6482
1203,350,0,30,350 North Lamar Transit Center NB,5493
1204,337,1,4,337 Decker EB,2421
1205,1,1,39,1 Tech Ridge Park & Ride NB,607
1206,20,0,24,20 Springdale NB,591
1207,315,1,16,315 Oak Hill WB,6395
1208,325,0,23,325 Norwood Transit Center SB,2581
1209,5,0,29,5 Tannehill EB,4090
1210,333,0,30,333 Oak Hill WB,3179
1211,4,1,26,4 Shady EB,6265
1212,7,0,56,7 William Cannon SB,1212
1213,311,0,34,311 Westgate Transit Center WB,4218
1214,392,0,6,392 Tech Ridge Park & Ride EB,3023
1215,10,0,58,10 Southpark Meadows SB,3763
1216,383,1,11,383 North Lamar Transit Center SB,3824
