stop_id,stop_sequence,trip_headsign,direction_id,route_id,wheelchair_accessible,bikes_allowed,stop_lat,stop_lon,stop_name,is_express
6499,34,10 Southpark Meadows SB,0,10,1,1,30.272244,-97.738709,Capitol/Waterloo SB (San Jacinto/11th),False
6448,8,217 Shady Lane NB,0,217,1,1,30.2517,-97.69763,5203 Eastside Bus Plaza Bay H,False
3837,1,3 Southpark Meadows SB,0,3,1,1,30.393337,-97.743545,10051 Great Hills/Research (Target),False
6439,1,310 S. Congress Transit Center WB,1,310,1,1,30.23618,-97.703723,ACC Riverside  @ Grove,False
6379,1,318 Thaxton EB,0,318,1,1,30.231403,-97.790588,Westgate Transit Center - F,False
6424,1,323 Northcross WB,0,323,1,1,30.340372,-97.691159,Norwood Transit Center - F,False
2583,18,324 Highland EB,0,324,1,1,30.3637,-97.69848,831 Rundberg/Lamar (Near Side),False
6421,1,325 Tech Ridge Park & Ride NB,1,325,1,1,30.340396,-97.691019,Norwood Transit Center - C,False
5302,1,325 Norwood Transit Center SB,0,325,1,1,30.418325,-97.66907,Tech Ridge Bay F,False
5702,1,333 Oak Hill WB,0,333,1,1,30.157067,-97.743627,8213 Panadero/Thaxton,False
5926,1,335 Exposition WB,0,335,1,1,30.302693,-97.699868,Barbara Jordan SB (Berkman/Barbara Jordan),False
3843,1,345 Burnet WB,0,345,1,1,30.298908,-97.720539,924 41st/IH 35,False
5226,1,350 ACC Riverside SB,1,350,1,1,30.350167,-97.712099,North Lamar Bay 2,False
5225,1,383 Lakeline Station NB,0,383,1,1,30.350016,-97.71196,North Lamar Bay 1,False
6243,1,4 Shady EB,1,4,1,1,30.275026,-97.764825,504 Campbell/5th,False
5854,1,5 Tannehill EB,0,5,1,1,30.357183,-97.733456,2535 Anderson/Northcross,False
6504,1,800 Mueller NB,0,800,1,1,30.150224,-97.753916,Vertex (Slaughter/Vertex),True
5926,1,800 Slaughter SB,1,800,1,1,30.302693,-97.699868,Barbara Jordan SB (Berkman/Barbara Jordan),True
2767,37,7 Airport/Highland NB,1,7,1,1,30.259459,-97.748994,Vic Mathias/Auditorium Shores (NB),False
2229,4,311 Westgate Transit Center WB,0,311,1,1,30.220474,-97.707258,2410 Grove/Montopolis,False
